,Month,profit,symbol_count,profit_t,Cumulative
0,2022-01,0.0,20,0.0,0.0
1,2022-02,-0.7796455334698046,20,-0.03898227667349023,-0.03898227667349019
2,2022-03,0.1938169899220552,20,0.009690849496102761,-0.029669198553645693
3,2022-04,-0.4109903395314223,20,-0.020549516976571112,-0.04960902783085741
4,2022-05,0.004797807579273977,20,0.00023989037896369886,-0.04938103818037998
5,2022-06,-2.892669745156173,20,-0.14463348725780864,-0.18687237368174925
6,2022-07,-5.3039874295387115,20,-0.26519937147693556,-0.4025133091118819
7,2022-08,-5.5306467931523144,20,-0.2765323396576157,-0.5677377016574598
8,2022-09,-0.015437024775629828,20,-0.0007718512387814914,-0.568071343847914
9,2022-10,5.651307262263078,20,0.2825653631131539,-0.4460232662833232
10,2022-11,5.52893292384047,20,0.2764466461920235,-0.29287825617893637
11,2022-12,0.30133881624794534,20,0.015066940812397267,-0.2822240947176252
12,2023-01,-20.649387666432318,20,-1.0324693833216159,-1.0233057410076332
13,2023-02,1.2835442207610612,20,0.06417721103805306,-1.0248014384666784
14,2023-03,7.665533407643085,20,0.3832766703821543,-1.0343072512228748
15,2023-04,-46.035560617725274,20,-2.301778030886264,-0.9553395740579658
16,2023-05,0.10802092297498639,20,0.00540104614874932,-0.9550983610364301
17,2023-06,0.33520057451221247,20,0.016760028725610623,-0.9543458082775736
18,2023-07,-1.1279620335493747,20,-0.05639810167746874,-0.9569206180243377
19,2023-08,1.6596988835644493,20,0.08298494417822247,-0.953345677915855
20,2023-09,4.306912130692005,20,0.21534560653460028,-0.9432988746291843
21,2023-10,-4.595222324958739,20,-0.22976111624793694,-0.9563265884868971
22,2023-11,-2.492455018813566,20,-0.12462275094067829,-0.9617692891726243
23,2023-12,-0.16871591838178962,20,-0.008435795919089481,-0.9620917956470058
24,2024-01,0.5357728522860975,20,0.026788642614304876,-0.9610762863084433
25,2024-02,-0.2277451710777694,20,-0.01138725855388847,-0.9615195207001266
26,2024-03,-0.5062507184237222,20,-0.025312535921186107,-0.9624935592146691
27,2024-04,-0.004885997508498052,20,-0.0002442998754249026,-0.9625027220334806
28,2024-05,-6.367098210139154,20,-0.3183549105069577,-0.9744401646047663
29,2024-06,13.159703494925578,20,0.6579851747462789,-0.9576221718457475
